 * Running on http://0.0.0.0:24816/ (Press CTRL+C to quit)
127.0.0.1 - - [17/Apr/2016 05:31:33] "GET /static/imgs/The%20Castle.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:33] "GET /static/imgs/Landscape.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:33] "GET /static/imgs/Lady%20-%20Da%20Vinci%20Copy.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:34] "GET /static/imgs/Lady%20-%20Sargent%20Copy.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:34] "GET /static/imgs/Man%20-%20Sargent%20Copy.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:34] "GET /static/imgs/Man%20-%20Sargent%20Copy%202.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:34] "GET /static/imgs/Lady%20-%20Copy.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:35] "GET /static/imgs/Lying%202.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:35] "GET /static/imgs/Sitting.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:35] "GET /static/imgs/Broom.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:35] "GET /static/imgs/Back.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:35] "GET /static/imgs/Back%202.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:35] "GET /static/imgs/Head.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:35] "GET /static/imgs/Standing.JPG HTTP/1.0" 200 -
127.0.0.1 - - [17/Apr/2016 05:31:36] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [17/Apr/2016 05:31:44] "GET / HTTP/1.0" 200 -
